model,accuracy,precision,recall,f1_score,roc_auc,threshold
random_forest,0.5984,0.559,0.9327,0.699,0.7204,0.4
xgboost,0.5162,0.5084,0.9827,0.6701,0.628,0.26158663630485535
logistic_regression,0.4999,0.5,0.9998,0.6666,0.5021,0.32844522987910413
decision_tree,0.5175,0.5093,0.9592,0.6653,0.5461,0.13043478260869565
